Record Id,Unit No.,Bedrooms,Status,Unit Suite/  Internal Size (sq.ft),Balcony Size (sq.ft),Net Unit Size (sq.ft),Rate AED/ Sq.Ft,Selling price,Pre Launch Price,Floor Plan URL,Unit Inventory Owner.id,Unit Inventory Owner
zcrm_6686831000013407166,606,2 BR,Hold,868.22,700.19,1568.41,1332,2298034.33,2089122.12,https://workdrive.zohoexternal.com/external/60084b3c632b959428194ef9ceb50329ca016f57d9fa02d85e3cb7209bc266a3/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407167,607,STUDIO,Hold,311.72,173.94,485.67,1612,861190.04,782900.04,https://workdrive.zohoexternal.com/external/6f93056aed83cfe12a70c82b4460081399ff8f4219e980382a40a1d86a3a204c/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407168,608,STUDIO,Booked - Pending Payment Confirmation,311.62,174.05,485.67,1612,861190.04,782900.04,https://workdrive.zohoexternal.com/external/6f93056aed83cfe12a70c82b4460081399ff8f4219e980382a40a1d86a3a204c/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407169,609,STUDIO,Blocked,311.62,97.09,408.71,1782,801153.34,728321.22,https://workdrive.zohoexternal.com/external/b08bdd762fc0b702c5440424d1cd22b1ae51b65a39a97c4f201af1f1794ad29b/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407170,610,STUDIO,Booked - Pending Payment Confirmation,311.62,97.09,408.71,1782,801153.34,728321.22,https://workdrive.zohoexternal.com/external/b08bdd762fc0b702c5440424d1cd22b1ae51b65a39a97c4f201af1f1794ad29b/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407171,611,1 BR,Blocked,634.1,194.07,828.18,1357,1236224.29,1123840.26,https://workdrive.zohoexternal.com/external/4e6bd58d14499b96847d927247944a54111542b430d9da1f1b556d088b9c64f4/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407172,612,2 BR,Hold,849.92,417.21,1267.13,1357,1891444.95,1719495.41,https://workdrive.zohoexternal.com/external/71e6409476c945a06972198a88a2a09f3f5d967883249b00dcec6b7e06798935/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407173,613,1 BR,Sold,633,155,788,1357,1188567,1069710,https://workdrive.zohoexternal.com/external/3045aca464a9765060aa8f88eba998866afce38099ecdab8b88ba86ad64a9a95/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407174,614,1 BR,Hold,630.33,194.83,825.16,1357,1231716.33,1119742.12,https://workdrive.zohoexternal.com/external/0e08cb3d1543503dcaab939480e89f86d7397f59c4dfaf639ca096acd45b7e98/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407175,615,1 BR,Sold,637,194,831,1357,1252858,1127572,https://workdrive.zohoexternal.com/external/4e6bd58d14499b96847d927247944a54111542b430d9da1f1b556d088b9c64f4/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407176,616,1 BR,Blocked,626.57,193.32,819.89,1357,1223849.8,1112590.73,https://workdrive.zohoexternal.com/external/0f3266281bc52fb1ca6f7c5c97286f856e3680d69535a86ffcdaa300d2e0dd48/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407177,617,2 BR,Hold,1010.19,619.57,1629.76,1232,2208650.75,2007864.32,https://workdrive.zohoexternal.com/external/a001865668f6dc311f6468983f65b634051b9236cbe1a131e96482b4b6ed3a64/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407178,618,2 BR,Hold,867.46,703.85,1571.32,1507,2604777.16,2367979.24,https://workdrive.zohoexternal.com/external/60084b3c632b959428194ef9ceb50329ca016f57d9fa02d85e3cb7209bc266a3/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407179,619,1 BR,Sold,646,202,849,1532,1444336,1299902,https://workdrive.zohoexternal.com/external/4e6bd58d14499b96847d927247944a54111542b430d9da1f1b556d088b9c64f4/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407180,701,1 BR,Blocked,638.08,196.66,834.74,1590,1459960.26,1327236.6,https://workdrive.zohoexternal.com/external/4e6bd58d14499b96847d927247944a54111542b430d9da1f1b556d088b9c64f4/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407181,702,1 BR,Blocked,633.35,193.97,827.31,1590,1446965.19,1315422.9,https://workdrive.zohoexternal.com/external/4e6bd58d14499b96847d927247944a54111542b430d9da1f1b556d088b9c64f4/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407182,703,STUDIO,Booked - Pending Payment Confirmation,313,97,410,2040,929379,836441,https://workdrive.zohoexternal.com/external/b08bdd762fc0b702c5440424d1cd22b1ae51b65a39a97c4f201af1f1794ad29b/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407183,704,1 BR,Sold,635,192,827,1590,1460416,1314374,https://workdrive.zohoexternal.com/external/0f3266281bc52fb1ca6f7c5c97286f856e3680d69535a86ffcdaa300d2e0dd48/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
